Date,Client,Project,Project Code,Hours,Billable?,First Name,Last Name,Billable Rate
,,,,,,,,
4/3/17,Anil,Ethereum,RD001,3.84,No,Robert,Powell,0
4/3/17,Olith,Pharos,DV002,7.69,Yes,Hubert,Green,80
4/3/17,Olith,Pharos,DV002,4.46,Yes,Bradley,Hale,80
4/3/17,Olith,Pharos,DV002,7.57,Yes,Rudy,Parker,80
4/3/17,Prosaria,Business Development,GM001,0.92,No,Walter,Silva,0
4/3/17,Prosaria,Conference/Training,GM005,7.97,No,Tabitha,Jenkins,0
4/3/17,Prosaria,Team Development (Non-Training),GM006,3.29,No,Tommy,Nash,0
4/3/17,Prosaria,Admin/Legal,GM002,2.21,No,Tommy,Nash,0
4/3/17,Prosaria,Conference/Training,GM005,3.84,No,Bradley,Hale,0
4/3/17,Prosaria,Admin/Legal,GM002,2.11,No,Bradley,Hale,0
4/3/17,Prosaria,Paid Time Off,GM003,7.87,No,Neal,Gordon,0
4/3/17,Prosaria,Team Development (Non-Training),GM006,3.96,No,Robert,Powell,0
4/3/17,Roonder Technologies LLC,Roonder 3.0,TM001,1.8,Yes,Walter,Silva,70
4/3/17,Roonder Technologies LLC,Roonder 3.0,TM001,7.73,Yes,Faye,Cain,70
4/3/17,Twitri,CLOB Rearchitecture,BGC001,6.26,Yes,Walter,Silva,50
4/3/17,Twitri,CLOB Rearchitecture,BGC001,2.54,No,Tommy,Nash,0
4/3/17,Twitri,CLOB Rearchitecture,BGC001,8.14,Yes,Eugene,Kim,70
4/3/17,Twitri,CLOB Rearchitecture,BGC001,8.01,Yes,Emma,Clarke,50
4/4/17,Anil,Ethereum,RD001,8.15,No,Tabitha,Jenkins,0
4/4/17,Anil,Ethereum,RD001,8.39,No,Bernice,Rivera,0
4/4/17,Anil,Ethereum,RD001,1.97,No,Robert,Powell,0
4/4/17,Anil,Ethereum,RD001,4.21,No,Robert,Powell,0
4/4/17,Audosis,Project Wildfire,Audosis003,2.48,No,Tommy,Nash,0
4/4/17,Audosis,Project Wildfire,Audosis003,0.39,Yes,Walter,Silva,70
4/4/17,Audosis,Project Wildfire,Audosis003,1.59,Yes,Robert,Powell,70
4/4/17,Meecee,Google Drive Integration,FSG03,0.76,No,Tommy,Nash,0
4/4/17,Olith,Pharos,DV002,5.77,Yes,Bradley,Hale,80
4/4/17,Olith,Pharos,DV002,0.52,No,Tommy,Nash,0
4/4/17,Olith,Pharos,DV002,7.96,Yes,Hubert,Green,80
4/4/17,Olith,Pharos,DV002,7.95,Yes,Rudy,Parker,80
4/4/17,Prosaria,Business Development,GM001,2.48,No,Tommy,Nash,0
4/4/17,Prosaria,Team Development (Non-Training),GM006,1.99,No,Tommy,Nash,0
4/4/17,Prosaria,Business Development,GM001,4.17,No,Walter,Silva,0
4/4/17,Prosaria,Conference/Training,GM005,4.35,No,Neal,Gordon,0
4/4/17,Roonder Technologies LLC,Roonder 3.0,TM001,2.3,Yes,Walter,Silva,70
4/4/17,Roonder Technologies LLC,Roonder 3.0,TM001,7.63,Yes,Faye,Cain,70
4/4/17,Roonder Technologies LLC,Roonder 3.0,TM001,3.78,Yes,Neal,Gordon,70
4/4/17,Twitri,CLOB Rearchitecture,BGC001,1.53,Yes,Walter,Silva,50
4/4/17,Twitri,CLOB Rearchitecture,BGC001,1,No,Tommy,Nash,0
4/4/17,Twitri,CLOB Rearchitecture,BGC001,8.06,Yes,Eugene,Kim,70
4/4/17,Twitri,CLOB Rearchitecture,BGC001,8.03,Yes,Emma,Clarke,50
4/5/17,Anil,Ethereum,RD001,7.94,No,Bernice,Rivera,0
4/5/17,Anil,Ethereum,RD001,5.05,No,Neal,Gordon,0
4/5/17,Anil,Ethereum,RD001,8.28,No,Tabitha,Jenkins,0
4/5/17,Anil,Ethereum,RD001,2.66,No,Robert,Powell,0
4/5/17,Audosis,Project Wildfire,Audosis003,2.27,Yes,Walter,Silva,70
4/5/17,Audosis,Project Wildfire,Audosis003,3.39,Yes,Tommy,Nash,70
4/5/17,Audosis,Project Wildfire,Audosis003,0.87,Yes,Walter,Silva,70
4/5/17,Audosis,Project Wildfire,Audosis003,3.01,Yes,Robert,Powell,70
4/5/17,Audosis,Project Wildfire,Audosis003,2.2,Yes,Robert,Powell,70
4/5/17,Olith,Pharos,DV002,8.2,Yes,Bradley,Hale,80
4/5/17,Olith,Pharos,DV002,7.56,Yes,Hubert,Green,80
4/5/17,Olith,Pharos,DV002,7.61,Yes,Rudy,Parker,80
4/5/17,Prosaria,Conference/Training,GM005,4.34,No,Catherine,Ford,0
4/5/17,Prosaria,Business Development,GM001,0.27,No,Walter,Silva,0
4/5/17,Prosaria,Team Development (Non-Training),GM006,1.67,No,Tommy,Nash,0
4/5/17,Prosaria,Business Development,GM001,1.5,No,Tommy,Nash,0
4/5/17,Prosaria,Team Development (Non-Training),GM006,1.18,No,Tommy,Nash,0
4/5/17,Roonder Technologies LLC,Roonder 3.0,TM001,8.94,Yes,Faye,Cain,70
4/5/17,Roonder Technologies LLC,Roonder 3.0,TM001,1.55,Yes,Walter,Silva,70
4/5/17,Roonder Technologies LLC,Roonder 3.0,TM001,2.71,Yes,Neal,Gordon,70
4/5/17,Roonder Technologies LLC,Roonder 3.0,TM001,4.03,Yes,Catherine,Ford,70
4/5/17,Twitri,CLOB Rearchitecture,BGC001,1.55,Yes,Walter,Silva,50
